,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,total_supply
40,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,1958775991,41,0.0,0.0,1958775991.060449,1958775991.060449
41,hashnote-usyc,usyc,Circle USYC,1.12,1883793196,42,111690.0,,1686626242.240764,1686626242.240764
42,global-dollar,usdg,Global Dollar,0.999979,1767460772,43,35698242.0,0.00133,1767447249.737314,1767447249.737314
43,aster-2,aster,Aster,0.717481,1756483929,44,131593646.0,0.82123,2454947754.91,7822985112.003392
44,aave,aave,Aave,115.55,1742653253,45,485143025.0,3.66053,15191942.362667754,16000000.0
45,falcon-finance,usdf,Falcon USD,0.996245,1736329395,46,1584254.0,-0.00975,1742050785.572256,1742050785.572256
46,bittensor,tao,Bittensor,179.71,1718625652,47,92811006.0,-0.26963,9597491.0,21000000.0
47,okb,okb,OKB,76.7,1606101352,48,15770591.0,0.38424,21000000.0,21000000.0
48,pi-network,pi,Pi Network,0.1685,1585200421,49,14409916.0,-0.40876,9432570699.191391,14511647229.52521
49,sky,sky,Sky,0.067618,1549917141,50,12460892.0,-0.12023,23014353702.772793,23462665147.36596
50,near,near,NEAR Protocol,1.17,1505039299,51,249908875.0,2.78688,1289095415.0,1289095435.0
51,bitget-token,bgb,Bitget Token,2.15,1501154353,52,19776771.0,-0.07829,699992035.9787906,916931610.9787906
52,ripple-usd,rlusd,Ripple USD,1.0,1494904525,53,92481672.0,0.0174,1495023851.127496,1495023851.127496
53,pepe,pepe,Pepe,3.51e-06,1470546294,54,393617856.0,-3.21948,420690000000000.0,420690000000000.0
54,htx-dao,htx,HTX DAO,1.52e-06,1384934648,55,70528119.0,-2.61843,916533066327098.8,916533066327098.8
55,ethereum-classic,etc,Ethereum Classic,8.64,1337720832,56,56554757.0,0.86299,155731425.3267527,155731425.3267527
56,bfusd,bfusd,BFUSD,0.999105,1318868063,57,3183967.0,-0.03951,1320000000.0,1320000000.0
57,internet-computer,icp,Internet Computer,2.4,1315354705,58,69315677.0,-1.64727,549328987.5109519,549328987.5109519
58,ondo-finance,ondo,Ondo,0.257037,1244629211,59,64915689.0,-1.04106,4869330647.0,10000000000.0
59,superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),11.0,1157942210,60,0.0,0.0,105233789.298015,105233789.298015
60,pump-fun,pump,Pump.fun,0.00196438,1153935849,61,112881043.0,2.87224,590000000000.0,999989194254.412
61,polygon-ecosystem-token,pol,POL (ex-MATIC),0.107361,1134646513,62,65444258.0,-0.04661,10600776676.47781,10600776676.47781
62,gatechain-token,gt,Gate,6.98,1133103428,63,2755561.0,0.03714,115180573.04885802,115180573.04885802
63,worldcoin-wld,wld,Worldcoin,0.390107,1117579084,64,73313567.0,-0.22576,2877366571.941048,10000000000.0
64,kucoin-shares,kcs,KuCoin,7.7,1013741166,65,3504052.0,-1.8846,132155021.7355671,142155021.7355671
65,morpho,morpho,Morpho,1.77,969495920,66,28024904.0,1.74518,548718895.5149052,1000000000.0
66,midnight-3,night,Midnight,0.057819,955871925,67,7547301.0,0.20454,16607399400.63495,24000000000.0
67,hash-2,hash,Provenance Blockchain,0.01676118,925070988,68,17333.82,-4.86163,55191508803.0,100000000000.0
68,quant-network,qnt,Quant,62.34,905456009,69,9938434.0,-1.12782,14544176.164081175,14612493.0
69,cosmos,atom,Cosmos Hub,1.81,897512734,70,41285267.0,-0.93584,495860735.898477,495860735.898477
70,ethena,ena,Ethena,0.105499,861893522,71,94899116.0,2.55382,8225000000.0,15000000000.0
71,nexo,nexo,NEXO,0.851642,850076654,72,9535771.0,-0.33894,1000000000.0,1000000000.0
72,usdtb,usdtb,USDtb,0.999783,837328964,73,471309.0,-0.06713,835268729.4261826,835268729.4261826
73,official-trump,trump,Official Trump,3.48,806261352,74,161296008.0,1.1855,232498807.465716,1000000000.0
74,flare-networks,flr,Flare,0.00942982,799432849,75,3486024.0,0.37322,84993496971.97925,105093452625.504
75,kaspa,kas,Kaspa,0.02974497,795026615,76,15426151.0,0.44127,26777148610.50726,27246268175.06337
76,eutbl,eutbl,Spiko EU T-Bills Money Market Fund,1.23,793145676,77,0.0,-0.33627,643244970.87733,643244970.87733
77,algorand,algo,Algorand,0.0872,770996972,78,29631868.0,0.20598,8885850462.716583,8885934905.066803
78,ousg,ousg,OUSG,114.44,753472621,79,0.0,0.0,6583995.310670664,6583995.310670664
79,aptos,apt,Aptos,0.953629,739866146,80,92704257.0,1.01734,780348841.9936857,1197957538.081505
80,filecoin,fil,Filecoin,0.983459,738870195,81,95856288.0,-0.95029,756325847.0,1958219548.0
81,janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.028,732173788,82,0.0,0.0,712528659.890913,712528659.890913
82,usdd,usdd,USDD,1.001,721107124,83,1765806.0,0.03617,720717613.59,722602668.08
83,render-token,render,Render,1.37,705585077,84,50472571.0,-2.18824,518743261.0140742,533503434.2940742
84,ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.11,703136261,85,3314325.0,-0.17117,634310003.0774128,1169822704.430704
85,stable-2,stable,​​Stable,0.03286565,674127707,86,33335557.0,0.92845,20490102194.0,100000000000.0
86,xdce-crowd-sale,xdc,XDC Network,0.03235676,645325163,87,16072742.0,-3.09819,19935091749.27,38054106316.8
87,vechain,vet,VeChain,0.00723479,620626773,88,19928703.0,-0.17652,85985041177.0,85985041177.0
88,beldex,bdx,Beldex,0.08056,611497095,89,8731230.0,0.97515,7605918319.534367,9936218007.71498
89,arbitrum,arb,Arbitrum,0.101913,601250623,90,108355682.0,3.48655,5939074958.0,10000000000.0
90,jupiter-exchange-solana,jup,Jupiter,0.170473,590121955,91,53455572.0,6.78777,3497363517.1,6863982736.493945
91,pippin,pippin,pippin,0.57309,574932181,92,44219614.0,-1.31895,999937479.568225,999937479.568225
92,janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.096,567936077,93,0.0,0.0,518328892.305495,518328892.305495
93,usual-usd,usd0,Usual USD,1.001,563194747,94,267226.0,0.28453,564418793.2823768,564418793.2823768
94,decred,dcr,Decred,30.84,528280891,95,6235795.0,-1.23979,17300147.16236242,17300591.23764744
95,gho,gho,GHO,1.0,527900115,96,1311017.0,-0.02972,527437881.796613,527437881.796613
96,bonk,bonk,Bonk,5.94e-06,520397752,97,63598484.0,0.42442,87995146762137.02,87995146762138.38
97,a7a5,a7a5,A7A5,0.01285782,503951564,98,2402.82,-0.67753,39192750985.66073,39192750985.66073
98,true-usd,tusd,TrueUSD,0.998495,494066302,99,5829817.0,-0.01005,494515083.0,494515083.0
99,fasttoken,ftn,Fasttoken,1.088,472295646,100,40870.0,-0.07868,433861414.6,870742437.0
